Customer ID,Year,Quarter,Survey Date,Response Date,How likely are you to recommend insider to a friend or colleague ,How would you rate the value you gain from our company,How frequently are you using our platform,Please rate the overall quality of our products,Please rate the usability of the panel,Please rate your understanding of our reporting capabilities in the panel
CUS-1290050,2022,1,2022-01-01,2022-02-01,4,3,Once a Day,3,4.0,"I can pull all the numbers, but don't understand them"
CUS-1290050,2022,3,2022-07-01,2022-09-09,8,4,Once a Day,4,5.0,I don't use it often
CUS-1290050,2022,3,2022-07-01,2022-09-14,8,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1478100,2022,2,2022-04-01,2022-06-23,8,5,Once a Day,5,4.0,I don't use it often
CUS-1478100,2022,3,2022-07-01,2022-09-28,7,4,Once a Week,4,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1476450,2022,1,2022-01-01,2022-03-30,10,5,Once a Month,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1476450,2022,2,2022-04-01,2022-06-30,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1476150,2022,1,2022-01-01,2022-03-30,10,4,Once a Month,4,4.0,I am able to report everything easily
CUS-1476150,2022,3,2022-07-01,2022-07-05,9,4,Once a Month,4,5.0,I am able to report everything easily
CUS-1476150,2022,3,2022-07-01,2022-09-14,7,3,Once a Week,4,4.0,I am able to report everything easily
CUS-1476150,2022,1,2022-01-01,2022-03-30,6,3,Once a Week,3,5.0,I tried but could not find everything I need
CUS-1476150,2022,2,2022-04-01,2022-06-30,7,4,Once a Day,3,4.0,I am able to report everything easily
CUS-672900,2022,2,2022-04-01,2022-06-29,7,4,Once a Day,3,3.0,I am able to report everything easily
CUS-672900,2022,2,2022-04-01,2022-06-29,10,5,Once a Week,5,5.0,I need someone from Insider team to provide me the report from the panel
CUS-1467900,2022,3,2022-07-01,2022-07-04,7,3,Once a Week,3,2.0,I don't use it often
CUS-1502900,2022,2,2022-04-01,2022-06-06,9,5,Once a Month,4,4.0,I tried but could not find everything I need
CUS-1502900,2022,1,2022-01-01,2022-02-01,10,5,Once a Day,5,4.0,I need someone from Insider team to provide me the report from the panel
CUS-1502900,2022,2,2022-04-01,2022-05-20,9,4,Once a Week,4,4.0,I tried but could not find everything I need
CUS-907950,2022,1,2022-01-01,2022-02-01,5,3,Once a Day,3,3.0,I am able to report everything easily
CUS-907950,2022,2,2022-04-01,2022-04-15,8,3,Once a Day,4,4.0,I am able to report everything easily
CUS-907950,2022,3,2022-07-01,2022-07-05,8,3,Once a Day,3,3.0,I am able to report everything easily
CUS-907950,2022,3,2022-07-01,2022-09-05,8,3,Once a Day,3,3.0,I am able to report everything easily
CUS-1493050,2022,1,2022-01-01,2022-03-01,10,5,Once a Week,5,5.0,I am able to report everything easily
CUS-1493050,2022,2,2022-04-01,2022-04-17,10,5,Once a Week,4,5.0,I am able to report everything easily
CUS-1493050,2022,3,2022-07-01,2022-08-30,9,4,Once a Day,4,4.0,I am able to report everything easily
CUS-1494150,2022,2,2022-04-01,2022-06-14,4,3,Once a Month,3,2.0,I tried but could not find everything I need
CUS-1494150,2022,3,2022-07-01,2022-09-28,7,4,Once a Month,4,4.0,I am able to report everything easily
CUS-1494150,2022,1,2022-01-01,2022-03-31,7,3,Once a Week,3,4.0,I don't use it often
CUS-1494150,2022,3,2022-07-01,2022-09-26,8,4,Once a Week,3,4.0,I don't use it often
